,region,year,sex,length of education per person
1783,Åland,1990,female,183.8
1784,Åland,1990,male,232.0
1785,Åland,1991,combined,210.3
1786,Åland,1991,female,188.4
1787,Åland,1991,male,233.9
1788,Åland,1992,combined,214.7
1789,Åland,1992,female,193.6
1790,Åland,1992,male,237.3
1791,Åland,1993,combined,219.4
1792,Åland,1993,female,199.1
1793,Åland,1993,male,241.1
1794,Åland,1994,combined,224.0
1795,Åland,1994,female,204.3
1796,Åland,1994,male,244.9
1797,Åland,1995,combined,229.0
1798,Åland,1995,female,211.0
1799,Åland,1995,male,248.2
1800,Åland,1996,combined,233.3
1801,Åland,1996,female,217.2
1802,Åland,1996,male,250.4
1803,Åland,1997,combined,236.4
1804,Åland,1997,female,220.5
1805,Åland,1997,male,253.4
1806,Åland,1998,combined,240.2
1807,Åland,1998,female,225.7
1808,Åland,1998,male,255.7
1809,Åland,1999,combined,244.8
1810,Åland,1999,female,231.2
1811,Åland,1999,male,259.2
1812,Åland,2000,combined,247.3
1813,Åland,2000,female,234.9
1814,Åland,2000,male,260.4
1815,Åland,2001,combined,253.3
1816,Åland,2001,female,242.0
1817,Åland,2001,male,265.3
1818,Åland,2002,combined,255.7
1819,Åland,2002,female,245.2
1820,Åland,2002,male,266.9
1821,Åland,2003,combined,256.3
1822,Åland,2003,female,246.0
1823,Åland,2003,male,267.4
1824,Åland,2004,combined,258.5
1825,Åland,2004,female,250.5
1826,Åland,2004,male,267.0
1827,Åland,2005,combined,261.6
1828,Åland,2005,female,255.7
1829,Åland,2005,male,267.8
1830,Åland,2006,combined,266.1
1831,Åland,2006,female,261.6
1832,Åland,2006,male,270.9
1833,Åland,2007,combined,269.0
1834,Åland,2007,female,265.6
1835,Åland,2007,male,272.6
1836,Åland,2008,combined,272.0
1837,Åland,2008,female,270.3
1838,Åland,2008,male,273.7
1839,Åland,2009,combined,274.6
1840,Åland,2009,female,275.1
1841,Åland,2009,male,274.0
1842,Åland,2010,combined,276.2
1843,Åland,2010,female,278.9
1844,Åland,2010,male,273.4
1845,Åland,2011,combined,278.6
1846,Åland,2011,female,283.4
1847,Åland,2011,male,273.8
1848,Åland,2012,combined,282.3
1849,Åland,2012,female,288.1
1850,Åland,2012,male,276.4
1851,Åland,2013,combined,288.9
1852,Åland,2013,female,295.6
1853,Åland,2013,male,282.0
1854,Åland,2014,combined,291.0
1855,Åland,2014,female,298.5
1856,Åland,2014,male,283.3
1857,Åland,2015,combined,289.6
1858,Åland,2015,female,298.2
1859,Åland,2015,male,280.9
1860,Åland,2016,combined,291.8
1861,Åland,2016,female,301.9
1862,Åland,2016,male,281.6
1863,Åland,2017,combined,331.8
1864,Åland,2017,female,344.4
1865,Åland,2017,male,318.8
1866,Åland,2018,combined,337.3
1867,Åland,2018,female,351.4
1868,Åland,2018,male,322.8
1869,Åland,2019,combined,341.2
1870,Åland,2019,female,356.8
1871,Åland,2019,male,325.0
1872,Åland,2020,combined,341.6
1873,Åland,2020,female,358.4
1874,Åland,2020,male,324.3
1875,Åland,2021,combined,344.7
1876,Åland,2021,female,363.2
1877,Åland,2021,male,325.7
1878,Åland,2022,combined,342.9
1879,Åland,2022,female,361.8
1880,Åland,2022,male,323.4
