,region,year,"male_Employed, as % of total population","male_Students, as % of total population","female_Employed, as % of total population","female_Students, as % of total population","combined_Employed, as % of total population","combined_Students, as % of total population",male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,cost
0,Central Finland,1993,35.8,8.1,32.7,9.2,34.2,8.6,236.0,226.9,231.3,33139,82320,13731,31514,78184,23034,64653,160504,36765,258485,775.2
1,Central Finland,1994,36.9,8.5,32.8,9.6,34.8,9.1,240.0,233.0,236.4,32988,82406,14113,31524,78412,23429,64512,160818,37542,259392,743.7
2,Central Finland,1995,37.2,9.0,32.7,10.2,34.9,9.6,244.8,239.1,241.9,32715,82518,14473,31322,78565,23728,64037,161083,38201,259778,770.7
3,Central Finland,1996,37.5,8.7,33.2,9.6,35.3,9.2,249.4,245.4,247.4,32563,82863,14887,31092,78943,24042,63655,161806,38929,260835,807.7
4,Central Finland,1997,39.0,8.7,33.8,9.9,36.4,9.3,254.3,251.8,253.0,32311,83018,15197,30859,79184,24347,63170,162202,39544,261559,860.5
5,Central Finland,1998,40.4,8.2,35.4,9.0,37.9,8.6,259.2,258.5,258.8,31968,83088,15433,30668,79575,24481,62636,162663,39914,261754,883.9
6,Central Finland,1999,41.4,8.0,36.0,8.7,38.7,8.4,263.9,264.6,264.3,31739,83255,15655,30350,79757,24722,62089,163012,40377,262106,912.2
7,Central Finland,2000,42.6,8.0,36.9,8.7,39.7,8.3,268.5,271.1,269.9,31508,83663,16019,30066,80164,24896,61574,163827,40915,262710,955.8
8,Central Finland,2001,42.3,8.1,37.0,9.0,39.6,8.6,273.7,277.5,275.6,31096,84156,16252,29847,80690,25094,60943,164846,41346,263574,1023.9
9,Central Finland,2002,42.3,8.1,37.5,8.8,39.9,8.4,278.5,282.8,280.7,30706,84355,16644,29539,80892,25335,60245,165247,41979,263889,1091.4
10,Central Finland,2003,42.4,8.4,37.6,9.0,39.9,8.7,284.0,290.0,287.1,30426,84650,17098,29356,81237,25582,59782,165887,42680,264936,1181.1
11,Central Finland,2004,42.6,8.4,37.8,9.0,40.2,8.7,289.1,297.0,293.2,30283,84806,17583,29176,81450,26105,59459,166256,43688,266047,1242.8
12,Central Finland,2005,42.4,8.9,37.4,9.3,39.9,9.1,293.1,302.6,298.0,30082,84970,18014,29036,81469,26384,59118,166439,44398,266770,1287.0
13,Central Finland,2006,43.3,8.7,38.2,9.2,40.7,8.9,297.1,308.8,303.1,30104,84602,18906,29034,81294,27025,59138,165896,45931,267481,1330.1
14,Central Finland,2007,43.8,8.5,39.1,9.0,41.4,8.7,302.7,316.1,309.6,29981,84935,18991,28865,81500,27034,58846,166435,46025,267998,1400.8
15,Central Finland,2008,43.3,8.3,39.7,8.7,41.5,8.5,307.7,324.2,316.1,29865,85172,19431,28870,81861,27345,58735,167033,46776,269108,1489.4
16,Central Finland,2009,40.8,8.7,38.8,8.9,39.8,8.8,311.6,330.3,321.2,29865,85347,19848,28799,82063,27658,58664,167410,47506,270195,1544.5
17,Central Finland,2010,41.7,8.5,39.5,8.7,40.6,8.6,316.0,336.4,326.4,29789,85272,20617,28709,81888,28300,58498,167160,48917,271083,1568.6
18,Central Finland,2011,41.8,8.5,39.7,8.4,40.7,8.4,320.4,343.2,332.0,29700,84912,21496,28545,81472,29106,58245,166384,50602,271874,1655.4
19,Central Finland,2012,40.7,8.4,39.3,8.4,40.0,8.4,324.5,349.5,337.2,29577,84503,22549,28480,81052,29953,58057,165555,52502,272723,1749.0
20,Central Finland,2013,39.1,8.4,38.4,8.4,38.7,8.4,329.6,356.1,343.1,29338,83726,23715,28243,80211,30905,57581,163937,54620,272911,1829.4
21,Central Finland,2014,38.8,8.4,37.9,8.4,38.3,8.4,334.0,362.1,348.3,29211,83086,24626,28112,79498,31698,57323,162584,56324,272990,1828.7
22,Central Finland,2015,38.5,8.5,37.5,8.4,38.0,8.5,336.5,366.7,351.8,29001,82655,25516,27941,78945,32488,56942,161600,58004,273446,1842.5
23,Central Finland,2016,39.2,8.5,37.8,8.2,38.5,8.4,340.3,372.3,356.5,28865,82600,26210,27737,78471,33005,56602,161071,59215,273910,1826.7
24,Central Finland,2017,40.4,8.2,38.5,8.1,39.4,8.1,345.3,379.4,362.6,28706,81959,27026,27448,77949,33648,56154,159908,60674,273779,1871.9
25,Central Finland,2018,40.8,8.2,39.2,8.1,40.0,8.1,350.7,387.3,369.3,28443,81478,27580,27155,77342,34266,55598,158820,61846,273283,1880.0
26,Central Finland,2019,40.5,8.3,39.2,8.3,39.8,8.3,354.0,392.5,373.5,27988,81023,28296,26825,76756,34905,54813,157779,63201,272898,1903.1
27,Central Finland,2020,39.0,8.7,38.0,8.7,38.5,8.7,357.9,398.5,378.4,27732,80506,28957,26546,76246,35548,54278,156752,64505,272617,1991.5
28,Central Ostrobothnia,1993,36.8,8.9,31.5,10.5,34.1,9.7,202.0,208.2,205.2,10126,21269,3456,9762,20242,5593,19888,41511,9049,69315,677.7
29,Central Ostrobothnia,1994,37.9,9.8,32.3,10.5,35.1,10.1,206.7,214.0,210.4,10038,21368,3535,9696,20366,5725,19734,41734,9260,69627,680.9
30,Central Ostrobothnia,1995,38.3,9.6,31.7,10.6,35.0,10.1,210.4,220.3,215.4,9928,21342,3656,9622,20348,5801,19550,41690,9457,69539,714.3
31,Central Ostrobothnia,1996,38.6,9.6,32.2,10.5,35.4,10.0,214.3,225.3,219.9,9752,21279,3755,9426,20229,5867,19178,41508,9622,69213,749.1
32,Central Ostrobothnia,1997,40.2,9.6,32.9,10.6,36.5,10.1,218.8,230.8,225.0,9578,21249,3857,9337,20152,5912,18915,41401,9769,69021,813.8
33,Central Ostrobothnia,1998,41.9,9.0,34.7,9.7,38.3,9.3,223.2,235.5,229.5,9444,21229,3924,9236,20068,5962,18680,41297,9886,68773,827.9
34,Central Ostrobothnia,1999,42.5,9.0,35.3,9.2,38.8,9.1,226.4,240.7,233.7,9248,21109,4024,9084,19959,6021,18332,41068,10045,68345,849.1
35,Central Ostrobothnia,2000,43.3,8.4,35.9,9.0,39.6,8.7,229.3,245.8,237.7,9101,21019,4117,8946,19913,6098,18047,40932,10215,68052,899.2
36,Central Ostrobothnia,2001,43.7,8.4,36.3,9.0,40.0,8.7,233.1,251.3,242.4,8910,20948,4172,8751,19809,6177,17661,40757,10349,67671,988.7
37,Central Ostrobothnia,2002,43.9,8.6,37.7,8.7,40.7,8.6,239.0,256.1,247.7,8759,20913,4266,8626,19842,6196,17385,40755,10462,67497,1048.4
38,Central Ostrobothnia,2003,43.8,8.3,37.6,8.7,40.6,8.5,243.9,262.3,253.3,8642,20855,4384,8522,19858,6237,17164,40713,10621,67441,1128.3
39,Central Ostrobothnia,2004,43.8,8.4,38.2,8.6,41.0,8.5,248.4,269.0,258.9,8569,20810,4508,8334,19829,6336,16903,40639,10844,67369,1218.0
40,Central Ostrobothnia,2005,43.7,8.8,37.9,8.8,40.7,8.8,252.5,275.7,264.3,8536,20880,4592,8316,19856,6409,16852,40736,11001,67612,1276.6
41,Central Ostrobothnia,2006,44.9,8.4,38.8,8.8,41.8,8.6,256.9,281.9,269.6,8407,20747,4791,8301,19744,6605,16708,40491,11396,67632,1345.0
42,Central Ostrobothnia,2007,45.6,8.0,39.8,8.3,42.7,8.2,261.5,287.8,274.9,8398,20833,4815,8305,19872,6651,16703,40705,11466,67898,1442.6
43,Central Ostrobothnia,2008,44.5,7.9,39.9,7.9,42.2,7.9,265.2,294.8,280.2,8378,20878,4909,8223,19902,6709,16601,40780,11618,67991,1571.1
44,Central Ostrobothnia,2009,42.6,7.8,39.3,8.1,40.9,7.9,269.6,301.0,285.6,8361,20756,5001,8210,19891,6837,16571,40647,11838,68131,1620.6
45,Central Ostrobothnia,2010,43.6,7.7,39.8,8.2,41.7,8.0,274.6,307.1,291.2,8399,20638,5213,8177,19856,6988,16576,40494,12201,68321,1782.6
46,Central Ostrobothnia,2011,43.5,7.5,40.1,8.1,41.8,7.8,278.3,313.4,296.2,8394,20514,5489,8175,19710,7174,16569,40224,12663,68484,1907.2
47,Central Ostrobothnia,2012,43.1,7.5,40.2,8.0,41.6,7.7,282.4,319.4,301.2,8356,20339,5747,8151,19506,7446,16507,39845,13193,68610,1956.8
48,Central Ostrobothnia,2013,42.4,7.5,39.8,7.8,41.1,7.7,287.7,325.6,306.9,8361,20109,6025,8150,19368,7648,16511,39477,13673,68677,1984.0
49,Central Ostrobothnia,2014,41.5,7.2,39.3,7.3,40.4,7.3,291.7,332.5,312.4,8367,19952,6278,8116,19156,7868,16483,39108,14146,68830,1945.2
50,Central Ostrobothnia,2015,41.1,7.3,38.9,7.2,40.0,7.2,293.9,338.3,316.4,8375,19839,6503,8135,19018,8037,16510,38857,14540,69032,1971.8
51,Central Ostrobothnia,2016,40.9,7.1,38.5,7.3,39.7,7.2,296.8,343.2,320.3,8391,19660,6719,8105,18805,8208,16496,38465,14927,69027,2018.3
52,Central Ostrobothnia,2017,41.7,6.9,39.6,7.1,40.6,7.0,301.5,349.3,325.7,8344,19372,6910,8049,18555,8378,16393,37927,15288,68780,1986.3
53,Central Ostrobothnia,2018,42.3,6.6,40.3,6.9,41.3,6.7,306.4,356.6,331.8,8304,19110,7081,8002,18248,8535,16306,37358,15616,68437,2047.0
54,Central Ostrobothnia,2019,41.9,6.8,39.9,6.7,40.9,6.8,310.4,362.1,336.6,8204,18853,7258,7981,18049,8658,16185,36902,15916,68158,2044.2
55,Central Ostrobothnia,2020,40.8,7.0,39.6,6.9,40.2,6.9,314.6,367.9,341.5,8164,18781,7391,7883,17840,8803,16047,36621,16194,67988,2202.7
56,Kainuu,1993,32.8,8.7,31.0,10.0,31.9,9.3,214.5,214.2,214.3,12004,29832,4817,11763,27269,7369,23767,57101,12186,91794,805.8
57,Kainuu,1994,34.0,9.1,31.3,10.2,32.6,9.6,218.0,219.2,218.6,11869,29517,5040,11665,27063,7571,23534,56580,12611,91350,804.5
58,Kainuu,1995,32.7,9.3,31.2,10.5,32.0,9.9,221.2,224.4,222.8,11707,29166,5280,11420,26801,7752,23127,55967,13032,90781,827.6
59,Kainuu,1996,31.5,9.0,31.0,10.0,31.3,9.5,225.2,229.3,227.2,11490,28837,5435,11197,26430,7935,22687,55267,13370,90035,881.3
60,Kainuu,1997,33.9,9.4,31.7,10.5,32.8,9.9,227.8,233.1,230.5,11111,28480,5526,10988,26046,8104,22099,54526,13630,88896,916.4
61,Kainuu,1998,35.7,8.6,32.9,9.3,34.3,8.9,230.9,237.8,234.4,10817,28157,5607,10636,25748,8216,21453,53905,13823,87843,941.4
62,Kainuu,1999,36.3,8.4,33.0,9.2,34.7,8.8,234.3,242.1,238.2,10517,27840,5745,10348,25459,8277,20865,53299,14022,86943,939.3
63,Kainuu,2000,37.0,8.2,33.5,8.7,35.3,8.5,236.7,245.9,241.3,10208,27427,5868,10087,25032,8447,20295,52459,14315,85736,970.1
64,Kainuu,2001,35.6,8.2,33.4,8.5,34.5,8.3,239.5,250.5,245.0,9795,27106,5994,9708,24702,8570,19503,51808,14564,84497,1050.0
65,Kainuu,2002,35.5,8.4,33.7,8.8,34.6,8.6,242.8,254.0,248.4,9472,26818,6068,9318,24390,8661,18790,51208,14729,83477,1128.0
66,Kainuu,2003,36.4,8.3,34.3,8.8,35.3,8.6,246.8,258.9,252.9,9234,26506,6222,9072,24190,8741,18306,50696,14963,82744,1222.8
67,Kainuu,2004,37.0,8.0,34.5,8.3,35.7,8.2,250.8,264.6,257.7,9014,26293,6382,8825,23930,8924,17839,50223,15306,82214,1296.2
68,Kainuu,2005,36.5,8.7,34.5,8.5,35.5,8.6,255.0,269.4,262.2,8831,26058,6451,8582,23749,9022,17413,49807,15473,81585,1261.7
69,Kainuu,2006,37.6,8.3,35.3,8.3,36.5,8.3,260.3,276.2,268.3,8651,25617,6674,8318,23358,9220,16969,48975,15894,80738,1406.3
70,Kainuu,2007,39.2,8.3,36.0,8.3,37.6,8.3,264.1,282.0,273.1,8453,25473,6705,8133,23228,9239,16586,48701,15944,80218,1456.2
71,Kainuu,2008,37.9,8.0,36.9,8.0,37.4,8.0,269.0,289.2,279.2,8296,25297,6814,8025,23102,9251,16321,48399,16065,79690,1509.5
72,Kainuu,2009,36.5,8.2,37.0,8.0,36.8,8.1,273.5,295.2,284.4,8119,25071,6881,7899,22955,9315,16018,48026,16196,79234,1616.4
73,Kainuu,2010,37.8,8.0,37.3,7.9,37.6,7.9,277.4,300.5,289.0,7995,24797,7072,7758,22666,9473,15753,47463,16545,78703,1705.3
74,Kainuu,2011,38.5,7.7,37.8,7.6,38.1,7.7,281.5,305.9,293.7,7812,24456,7293,7546,22281,9611,15358,46737,16904,77984,1916.1
75,Kainuu,2012,37.7,7.5,37.8,7.3,37.7,7.4,285.4,310.7,298.1,7633,24103,7517,7410,21902,9857,15043,46005,17374,77435,2029.9
76,Kainuu,2013,35.8,7.0,36.9,6.9,36.4,7.0,290.3,316.0,303.2,7460,23662,7816,7251,21440,10113,14711,45102,17929,76782,2280.9
77,Kainuu,2014,35.0,6.9,36.7,6.7,35.9,6.8,293.9,322.0,308.0,7299,23190,8093,7115,21061,10288,14414,44251,18381,76119,2291.2
78,Kainuu,2015,35.5,6.8,36.5,6.6,36.0,6.7,295.5,327.2,311.4,7131,22673,8353,6845,20677,10438,13976,43350,18791,75324,2331.9
79,Kainuu,2016,36.7,6.7,36.9,6.5,36.8,6.6,299.2,332.9,316.1,7123,22265,8602,6739,20283,10593,13862,42548,19195,74803,2349.2
80,Kainuu,2017,36.8,6.8,37.1,6.3,37.0,6.5,304.1,339.5,321.8,6954,21749,8874,6648,19727,10784,13602,41476,19658,73959,2380.7
81,Kainuu,2018,38.1,6.5,38.1,6.0,38.1,6.2,309.0,347.2,328.1,6811,21231,9128,6471,19239,10950,13282,40470,20078,73061,2687.9
82,Kainuu,2019,37.6,6.6,38.1,5.9,37.8,6.2,311.9,351.5,331.6,6688,20708,9459,6329,18727,11142,13017,39435,20601,72306,2708.6
83,Kainuu,2020,37.7,6.8,37.9,6.1,37.8,6.4,314.8,357.6,336.1,6558,20416,9684,6177,18296,11260,12735,38712,20944,71664,3024.0
84,Kanta-Häme,1993,38.6,7.3,34.9,8.0,36.7,7.7,235.2,213.8,224.0,19652,51740,9513,18820,50149,16898,38472,101889,26411,164767,781.0
85,Kanta-Häme,1994,39.8,7.4,35.3,7.9,37.5,7.7,239.5,219.4,229.0,19642,51635,9744,18913,49993,17117,38555,101628,26861,164957,764.9
86,Kanta-Häme,1995,40.1,7.4,34.9,8.2,37.4,7.8,243.7,224.8,233.8,19554,51434,9940,18898,49770,17372,38452,101204,27312,164937,810.4
87,Kanta-Häme,1996,40.1,7.2,35.6,7.7,37.8,7.5,247.2,230.3,238.4,19501,51288,10177,18793,49691,17462,38294,100979,27639,164892,858.5
88,Kanta-Häme,1997,42.2,7.3,36.5,7.8,39.3,7.5,250.9,235.7,243.0,19460,51271,10316,18743,49666,17547,38203,100937,27863,165026,909.7
89,Kanta-Häme,1998,44.0,6.7,38.0,7.1,40.9,6.9,254.6,241.4,247.7,19371,51235,10407,18599,49718,17496,37970,100953,27903,164914,932.9
90,Kanta-Häme,1999,44.5,6.6,38.6,7.0,41.5,6.8,258.3,246.7,252.2,19412,51243,10619,18528,49878,17487,37940,101121,28106,165190,931.6
91,Kanta-Häme,2000,45.4,6.4,39.2,6.8,42.2,6.6,261.7,252.4,256.8,19351,51204,10831,18505,49913,17540,37856,101117,28371,165307,936.3
92,Kanta-Häme,2001,45.4,6.4,39.9,6.8,42.6,6.6,265.2,257.7,261.3,19265,51344,11039,18443,50037,17559,37708,101381,28598,165509,964.8
93,Kanta-Häme,2002,45.4,6.5,40.3,6.9,42.8,6.7,268.8,262.8,265.7,18996,51491,11309,18290,50209,17664,37286,101700,28973,165886,1020.0
94,Kanta-Häme,2003,45.4,6.5,40.5,6.8,42.9,6.7,273.7,269.4,271.5,18963,51602,11600,18279,50403,17796,37242,102005,29396,166648,1084.1
95,Kanta-Häme,2004,45.6,6.4,40.6,6.7,43.0,6.6,278.0,275.8,276.8,18981,51727,11875,18411,50584,18047,37392,102311,29922,167630,1165.5
96,Kanta-Häme,2005,45.5,7.0,40.8,7.1,43.1,7.0,282.1,282.6,282.4,19008,52004,11983,18387,50894,18068,37395,102898,30051,168381,1242.6
97,Kanta-Häme,2006,46.4,7.0,41.6,6.9,44.0,7.0,286.1,289.2,287.7,19189,52340,12450,18445,51046,18533,37634,103386,30983,169952,1294.4
98,Kanta-Häme,2007,47.1,6.8,42.7,6.8,44.8,6.8,289.8,296.5,293.2,19277,52868,12561,18563,51738,18466,37840,104606,31027,171449,1341.9
99,Kanta-Häme,2008,45.9,6.8,42.9,6.6,44.4,6.7,293.4,303.3,298.5,19392,53328,12877,18711,52135,18749,38103,105463,31626,173041,1485.0
100,Kanta-Häme,2009,43.4,7.0,42.1,6.9,42.8,6.9,297.6,309.7,303.9,19384,53439,13202,18635,52450,18937,38019,105889,32139,173828,1536.6
101,Kanta-Häme,2010,44.1,6.9,42.1,7.0,43.0,7.0,301.0,315.4,308.5,19281,53480,13762,18501,52411,19349,37782,105891,33111,174555,1562.7
102,Kanta-Häme,2011,44.5,6.8,42.3,6.7,43.4,6.8,304.4,320.4,312.7,19148,53128,14518,18418,52067,20057,37566,105195,34575,175230,1620.9
103,Kanta-Häme,2012,44.0,6.8,42.0,6.6,43.0,6.7,306.9,326.0,316.8,19101,52760,15242,18281,51597,20666,37382,104357,35908,175472,1671.6
104,Kanta-Häme,2013,42.9,6.8,41.2,6.7,42.0,6.8,310.8,332.5,322.0,18979,52370,15869,18106,51106,21226,37085,103476,37095,175481,1739.2
105,Kanta-Häme,2014,42.1,6.9,40.8,6.6,41.4,6.7,313.7,337.3,325.8,18829,51976,16500,17883,50458,21800,36712,102434,38300,175349,1784.1
106,Kanta-Häme,2015,41.4,6.8,40.0,6.7,40.7,6.8,315.5,340.6,328.4,18555,51463,17050,17622,49791,22319,36177,101254,39369,174710,1818.1
107,Kanta-Häme,2016,41.6,6.6,39.9,6.5,40.7,6.5,318.2,345.3,332.1,18282,50836,17530,17293,48975,22803,35575,99811,40333,173781,1850.1
108,Kanta-Häme,2017,42.1,6.7,40.4,6.4,41.2,6.6,321.3,351.3,336.7,18043,50189,18102,16991,48194,23208,35034,98383,41310,172720,1924.6
109,Kanta-Häme,2018,42.8,6.4,40.9,6.2,41.8,6.3,325.5,358.3,342.3,17693,49431,18589,16595,47339,23649,34288,96770,42238,171364,1945.2
110,Kanta-Häme,2019,42.3,6.5,41.0,6.4,41.6,6.4,328.9,363.5,346.6,17351,49012,19061,16339,46877,24132,33690,95889,43193,170925,1999.6
111,Kanta-Häme,2020,41.0,6.7,40.2,6.7,40.6,6.7,332.0,368.2,350.5,17179,48706,19472,16012,46514,24592,33191,95220,44064,170577,2077.3
112,Kymenlaakso,1993,39.1,7.6,33.5,8.2,36.2,7.9,237.4,209.9,223.2,21234,60327,10635,20312,57059,18866,41546,117386,29501,186054,707.9
113,Kymenlaakso,1994,40.4,7.6,33.6,8.2,36.9,7.9,241.1,215.0,227.6,21084,59965,10970,20184,56706,19043,41268,116671,30013,185462,697.5
114,Kymenlaakso,1995,40.9,7.5,33.4,8.5,37.1,8.0,244.6,220.2,232.0,20782,59522,11251,19952,56223,19223,40734,115745,30474,184595,738.0
115,Kymenlaakso,1996,40.6,7.2,34.1,8.0,37.2,7.6,248.2,225.4,236.4,20584,59000,11498,19751,55846,19372,40335,114846,30870,183819,780.3
116,Kymenlaakso,1997,41.9,7.4,34.7,7.8,38.2,7.6,251.2,230.4,240.4,20305,58591,11718,19605,55488,19503,39910,114079,31221,182942,848.9
117,Kymenlaakso,1998,43.0,7.0,35.6,7.3,39.2,7.2,254.8,234.8,244.5,20071,58333,11833,19431,55221,19536,39502,113554,31369,182215,842.7
118,Kymenlaakso,1999,43.0,6.9,36.3,7.0,39.6,7.0,257.2,239.2,247.9,19836,57846,12072,19175,54838,19530,39011,112684,31602,181122,891.0
119,Kymenlaakso,2000,43.7,6.8,36.8,6.9,40.2,6.8,260.1,244.2,251.9,19592,57420,12246,18918,54488,19559,38510,111908,31805,179940,914.9
120,Kymenlaakso,2001,43.8,6.8,37.1,6.8,40.4,6.8,262.7,248.8,255.5,19377,57186,12492,18661,54276,19602,38038,111462,32094,179292,998.9
121,Kymenlaakso,2002,43.6,6.9,37.5,6.8,40.5,6.8,266.0,253.3,259.5,19069,57101,12679,18386,54024,19664,37455,111125,32343,178735,1058.6
122,Kymenlaakso,2003,43.6,6.7,37.9,6.8,40.7,6.8,269.3,258.7,263.9,18832,56969,12998,18130,53806,19784,36962,110775,32782,178341,1160.4
123,Kymenlaakso,2004,43.8,6.6,38.0,6.6,40.9,6.6,272.2,264.3,268.2,18629,56697,13369,17906,53535,20049,36535,110232,33418,178205,1253.6
124,Kymenlaakso,2005,43.6,7.0,37.6,7.1,40.5,7.1,275.3,270.0,272.6,18501,56481,13557,17823,53419,20175,36324,109900,33732,177931,1325.0
125,Kymenlaakso,2006,43.7,7.0,38.3,7.0,41.0,7.0,278.8,275.7,277.2,18200,55770,14043,17610,52828,20634,35810,108598,34677,176995,1378.7
126,Kymenlaakso,2007,44.2,6.9,39.0,7.0,41.5,7.0,281.3,281.4,281.4,18048,55601,14070,17379,52656,20669,35427,108257,34739,176356,1396.6
127,Kymenlaakso,2008,43.1,6.7,39.2,6.7,41.1,6.7,283.6,287.1,285.4,17790,55238,14423,17143,52373,20836,34933,107611,35259,175661,1553.4
128,Kymenlaakso,2009,39.8,7.1,38.4,6.8,39.1,7.0,287.3,292.6,290.1,17611,55014,14742,16922,52117,21103,34533,107131,35845,175403,1569.9
129,Kymenlaakso,2010,40.6,6.9,38.5,6.6,39.5,6.8,289.7,297.2,293.5,17469,54521,15404,16825,51644,21640,34294,106165,37044,175377,1600.1
130,Kymenlaakso,2011,40.2,6.9,38.6,6.5,39.4,6.7,291.9,301.8,297.0,17194,53894,16088,16608,50989,22203,33802,104883,38291,174827,1695.1
131,Kymenlaakso,2012,39.1,6.8,38.7,6.2,38.9,6.5,294.0,306.5,300.4,17026,53228,16771,16433,50282,22864,33459,103510,39635,174466,1814.9
132,Kymenlaakso,2013,38.2,6.4,37.9,6.1,38.0,6.2,297.4,312.6,305.2,16722,52522,17419,16180,49588,23518,32902,102110,40937,173864,1846.2
133,Kymenlaakso,2014,37.5,6.7,37.1,6.3,37.3,6.5,300.3,317.3,309.0,16418,51600,18140,15900,48819,24006,32318,100419,42146,172907,1920.8
134,Kymenlaakso,2015,36.7,6.8,36.2,6.3,36.4,6.6,300.8,320.7,311.0,16136,50788,18723,15581,47970,24445,31717,98758,43168,171778,1916.4
135,Kymenlaakso,2016,37.1,6.7,36.0,6.2,36.6,6.4,303.6,324.6,314.3,15874,50160,19103,15357,47277,24869,31231,97437,43972,170770,1966.2
136,Kymenlaakso,2017,38.3,6.5,36.7,6.0,37.5,6.3,306.8,330.3,318.8,15464,49125,19573,14914,46145,25304,30378,95270,44877,168691,1985.8
137,Kymenlaakso,2018,39.2,6.3,37.8,5.7,38.5,6.0,312.3,338.8,325.8,15053,48255,19965,14450,45113,25530,29503,93368,45495,166623,2125.0
138,Kymenlaakso,2019,39.0,6.3,37.6,5.9,38.3,6.1,315.1,343.9,329.8,14618,47330,20201,14107,44137,25815,28725,91467,46016,164456,2214.6
139,Kymenlaakso,2020,37.7,6.5,37.1,6.0,37.4,6.2,317.5,348.8,333.5,14218,46572,20594,13715,43343,26022,27933,89915,46616,162812,2291.7
140,Lapland,1993,33.8,8.6,32.1,9.9,32.9,9.2,223.7,228.2,226.0,27317,66278,9860,26534,61164,14606,53851,127442,24466,202895,839.8
141,Lapland,1994,34.1,9.3,32.0,10.2,33.1,9.7,227.4,233.5,230.5,27091,65842,10239,26287,60723,15032,53378,126565,25271,202325,824.9
142,Lapland,1995,33.7,9.6,31.7,10.3,32.7,9.9,231.0,239.0,235.0,26622,65441,10594,25834,60378,15386,52456,125819,25980,201411,861.2
143,Lapland,1996,33.5,9.5,32.3,10.1,32.9,9.8,234.3,244.1,239.2,26304,65143,10901,25449,59901,15761,51753,125044,26662,200579,884.4
144,Lapland,1997,35.0,9.6,33.0,10.3,34.0,10.0,237.3,248.3,242.8,25817,64615,11153,24925,59415,15973,50742,124030,27126,199051,908.6
145,Lapland,1998,36.2,9.1,33.9,9.6,35.0,9.4,240.1,252.7,246.4,25110,63736,11369,24269,58774,16160,49379,122510,27529,196647,936.0
146,Lapland,1999,36.7,9.1,34.7,9.4,35.7,9.2,243.1,257.1,250.1,24535,62939,11621,23700,57904,16461,48235,120843,28082,194352,933.5
147,Lapland,2000,37.3,9.1,35.2,9.6,36.3,9.3,245.7,261.2,253.5,23915,61975,11994,22946,57159,16728,46861,119134,28722,191768,1007.3
148,Lapland,2001,37.2,8.8,35.6,8.9,36.4,8.9,248.9,265.1,257.0,23150,61264,12284,22170,56193,17045,45320,117457,29329,189288,1075.6
149,Lapland,2002,37.8,8.9,36.4,9.3,37.1,9.1,252.4,269.9,261.2,22411,60640,12683,21632,55877,17393,44043,116517,30076,187778,1149.6
150,Lapland,2003,38.2,8.9,36.6,9.4,37.4,9.1,256.4,275.1,265.8,21793,60357,13089,21048,55594,17736,42841,115951,30825,186917,1230.2
151,Lapland,2004,38.4,8.8,36.6,9.4,37.5,9.1,260.4,281.2,270.8,21333,60089,13503,20625,55362,18105,41958,115451,31608,186443,1311.1
152,Lapland,2005,38.4,9.2,36.3,9.9,37.4,9.5,264.2,286.8,275.5,20940,59841,13743,20208,55270,18273,41148,115111,32016,185800,1392.7
153,Lapland,2006,39.5,9.1,37.0,9.8,38.3,9.4,267.9,292.8,280.3,20583,59141,14245,19857,54778,18834,40440,113919,33079,184935,1464.1
154,Lapland,2007,40.5,8.9,38.0,9.6,39.3,9.3,271.1,298.5,284.9,20296,59019,14351,19508,54907,18889,39804,113926,33240,184390,1544.4
155,Lapland,2008,39.7,8.7,38.7,9.3,39.2,9.0,274.8,305.3,290.1,19994,58840,14680,19165,54865,19028,39159,113705,33708,183963,1654.6
156,Lapland,2009,37.9,8.7,38.1,9.3,38.0,9.0,279.1,310.7,295.0,19681,58883,14856,18818,54852,19207,38499,113735,34063,183748,1707.7
157,Lapland,2010,39.0,8.6,38.6,9.1,38.8,8.8,283.0,316.1,299.6,19406,58740,15197,18486,54698,19477,37892,113438,34674,183488,1765.9
158,Lapland,2011,39.3,8.4,38.8,8.7,39.0,8.6,286.8,322.4,304.6,19118,58196,15845,18296,54136,20127,37414,112332,35972,183330,1873.5
159,Lapland,2012,38.4,8.2,39.2,8.4,38.8,8.3,290.5,328.4,309.5,18900,57510,16536,18025,53591,20654,36925,111101,37190,182844,2032.3
160,Lapland,2013,37.3,7.8,38.7,8.0,38.0,7.9,295.1,335.3,315.3,18673,56702,17258,17834,52944,21232,36507,109646,38490,182514,2142.8
161,Lapland,2014,37.1,7.7,38.6,7.9,37.9,7.8,299.3,341.6,320.5,18485,55772,18025,17611,52207,21760,36096,107979,39785,181746,2253.9
162,Lapland,2015,37.0,7.5,38.5,7.6,37.7,7.5,301.8,346.3,324.1,18179,54817,18747,17366,51532,22215,35545,106349,40962,180858,2262.9
163,Lapland,2016,37.8,7.3,38.8,7.5,38.3,7.4,305.3,352.0,328.7,18071,54027,19266,17115,51074,22625,35186,105101,41891,180207,2267.6
164,Lapland,2017,38.8,6.9,39.7,7.2,39.3,7.1,311.1,360.4,335.9,17814,53040,19882,16910,50458,23035,34724,103498,42917,179223,2293.3
165,Lapland,2018,39.7,6.6,40.5,6.8,40.1,6.7,316.7,368.4,342.7,17554,52250,20491,16756,49943,23465,34310,102193,43956,178522,2444.6
